#seg_name	chrom	start	end	normal_reads_num	tumor_reads_num	LOH_frec	LOH_status	log2_ratio
chr1_start_0_end_46576923	chr1	0	46576923	29457937	33735816	0.0204093075414	FALSE	0.195624659078
chr1_start_46576923_end_74523076	chr1	46576923	74523076	17431265	19968769	0.0149767781663	FALSE	0.196068128038
chr1_start_74523076_end_93153845	chr1	74523076	93153845	11573028	10207514	0.497163285925	TRUE	-0.181134838397
chr1_start_93153845_end_102469229	chr1	93153845	102469229	5800415	5106285	0.0259493670886	FALSE	-0.183882061911
chr1_start_102469229_end_121099998	chr1	102469229	121099998	11986032	9060369	0.190504407081	UNCERTAIN	-0.403712417737
chr1_start_128000000_end_156392790	chr1	128000000	156392790	10527122	11987344	0.0566765817188	FALSE	0.187400967303
chr1_start_156392790_end_184785580	chr1	156392790	184785580	17746452	20316801	0.0151515151515	FALSE	0.195142639818
chr1_start_184785580_end_196142696	chr1	184785580	196142696	7102513	6258704	0.481671554252	TRUE	-0.182465620158
chr1_start_196142696_end_218856928	chr1	196142696	218856928	14223436	12548828	0.0345206818598	FALSE	-0.180717393711
chr1_start_218856928_end_247249718	chr1	218856928	247249718	17776791	13346695	0.194122127145	UNCERTAIN	-0.41351238163
