#seg_name	chrom	start	end	normal_reads_num	tumor_reads_num	LOH_frec	LOH_status	log2_ratio
chr1_start_0_end_18527926	chr1	0	18527926	11892807	11783867	0.029504	FALSE	-0.0132762149681
chr1_start_18527926_end_22969419	chr1	18527926	22969419	2801601	3194038	0.0714481248289	FALSE	0.189129972996
chr1_start_22969419_end_115061291	chr1	22969419	115061291	57658958	57138721	0.0220783506451	FALSE	-0.0130760218246
chr1_start_115061291_end_115644610	chr1	115061291	115644610	361341	411338	0.787234042553	TRUE	0.18696339503
chr1_start_115644610_end_121100000	chr1	115644610	121100000	3540172	3504122	0.027739569005	FALSE	-0.0147664507674
chr1_start_128000000_end_163299463	chr1	128000000	163299463	14918857	14786208	0.0341296928328	FALSE	-0.012884895323
chr1_start_163299463_end_164096896	chr1	163299463	164096896	497738	568089	0.0647590361446	FALSE	0.19073043378
chr1_start_164096896_end_206698479	chr1	164096896	206698479	26600372	26359273	0.0229946345853	FALSE	-0.0131358408716
chr1_start_206698479_end_215689277	chr1	206698479	215689277	5603775	6381919	0.0750264710331	FALSE	0.187591267339
chr1_start_215689277_end_247249719	chr1	215689277	247249719	19750260	19565309	0.0245072139809	FALSE	-0.0135737503301
