#seg_name	chrom	start	end	normal_reads_num	tumor_reads_num	LOH_frec	LOH_status	log2_ratio
chr1_start_51598_end_71155359	chr1	51598	71155359	44769011	44503841	0.758277704874	TRUE	-0.00857059140643
chr1_start_71155496_end_72981640	chr1	71155496	72981640	1130937	1350909	0.962280701754	TRUE	0.256411930275
chr1_start_72981677_end_118821760	chr1	72981677	118821760	28757924	28582675	0.790106142224	TRUE	-0.00881859118507
chr1_start_118821952_end_119247524	chr1	118821952	119247524	261318	309947	0.972413793103	TRUE	0.246215036886
chr1_start_119248025_end_120293407	chr1	119248025	120293407	660864	656266	0.742168674699	TRUE	-0.0100727168081
chr1_start_120293407_end_121100000	chr1	120293407	121100000	640974	636930	0.0437293729373	FALSE	-0.00913101175213
chr1_start_128000000_end_188338626	chr1	128000000	188338626	30485610	30290858	0.0280574725648	FALSE	-0.00924597020951
chr1_start_188338626_end_188870762	chr1	188338626	188870762	330992	527852	0.817391304348	TRUE	0.673337133256
chr1_start_188870762_end_222321150	chr1	188870762	222321150	20941352	20811714	0.0228321896444	FALSE	-0.0089588008082
chr1_start_222321150_end_223560451	chr1	222321150	223560451	771608	1225912	0.813160987074	TRUE	0.667915414965
chr1_start_223560451_end_247249719	chr1	223560451	247249719	14846653	14766248	0.0232825224473	FALSE	-0.00783443539198
